NO_UF,Indice_infra,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,QT_MAT_BAS,QT_MAT_INF,QT_MAT_INF_CRE,QT_MAT_INF_PRE,QT_MAT_FUND,QT_MAT_MED,QT_MAT_PROF,QT_MAT_INF_INT,QT_MAT_INF_CRE_INT,QT_MAT_INF_PRE_INT,QT_MAT_FUND_INT,QT_MAT_MED_INT,ano
['Sergipe'],0.5718062388712652,['SE'],[28],['Cristinápolis'],[2801702],4743.0,866.0,283.0,583.0,2858.0,667.0,0.0,246.0,246.0,0.0,1250.0,0.0,['2019']
['Paraíba'],0.44401001117972494,['PB'],[25],['Dona Inês'],[2505709],2428.0,448.0,177.0,271.0,1478.0,421.0,0.0,46.0,46.0,0.0,680.0,0.0,['2019']
['Sergipe'],0.5845921643948058,['SE'],[28],['Estância'],[2802106],14232.0,2342.0,1106.0,1236.0,7786.0,2003.0,448.0,873.0,835.0,38.0,0.0,323.0,['2019']
['Sergipe'],0.45803482689996705,['SE'],[28],['Indiaroba'],[2802809],4741.0,797.0,292.0,505.0,3028.0,668.0,0.0,86.0,85.0,1.0,317.0,287.0,['2019']
['Bahia'],0.4291150261705545,['BA'],[29],['Inhambupe'],[2913705],8798.0,1298.0,445.0,853.0,5086.0,1301.0,93.0,224.0,115.0,109.0,1.0,0.0,['2019']
['Sergipe'],0.40186370496868384,['SE'],[28],['Itabaianinha'],[2803005],10710.0,1531.0,477.0,1054.0,6153.0,1851.0,0.0,94.0,94.0,0.0,679.0,30.0,['2019']
['Bahia'],0.40138172643771836,['BA'],[29],['Itaberaba'],[2914703],14857.0,2294.0,1011.0,1283.0,7823.0,2923.0,1565.0,396.0,353.0,43.0,274.0,76.0,['2019']
['Bahia'],0.35015391107157123,['BA'],[29],['Itagibá'],[2915205],3662.0,462.0,60.0,402.0,2400.0,380.0,0.0,60.0,60.0,0.0,69.0,0.0,['2019']
['Bahia'],0.34263012744922505,['BA'],[29],['Itapicuru'],[2916500],7944.0,821.0,74.0,747.0,5154.0,875.0,0.0,74.0,74.0,0.0,221.0,0.0,['2019']
['Sergipe'],0.5491987862187943,['SE'],[28],['Lagarto'],[2803500],20208.0,3375.0,1416.0,1959.0,11481.0,3504.0,581.0,166.0,166.0,0.0,116.0,704.0,['2019']
['Bahia'],0.45750083541733455,['BA'],[29],['Lagoa Real'],[2918753],2546.0,373.0,120.0,253.0,1578.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,['2019']
['Bahia'],0.2899807607562219,['BA'],[29],['Lajedinho'],[2919009],941.0,188.0,84.0,104.0,501.0,128.0,0.0,106.0,84.0,22.0,0.0,0.0,['2019']
['Piauí'],0.4384420897024378,['PI'],[22],['Luzilândia'],[2205805],6808.0,1131.0,502.0,629.0,3862.0,805.0,0.0,0.0,0.0,0.0,302.0,170.0,['2019']
['Maranhão'],0.3339791591162934,['MA'],[21],['Mirador'],[2106706],5046.0,820.0,262.0,558.0,3119.0,696.0,0.0,0.0,0.0,0.0,0.0,0.0,['2019']
['Maranhão'],0.27926079203654103,['MA'],[21],['Monção'],[2106904],10449.0,2061.0,768.0,1293.0,5985.0,1026.0,0.0,5.0,0.0,5.0,296.0,0.0,['2019']
['Bahia'],0.47302693388400885,['BA'],[29],['Nova Canaã'],[2922706],3532.0,503.0,188.0,315.0,2047.0,363.0,0.0,270.0,140.0,130.0,492.0,0.0,['2019']
['Bahia'],0.5612171194845285,['BA'],[29],['Nova Viçosa'],[2923001],10145.0,1739.0,644.0,1095.0,6137.0,1530.0,0.0,637.0,637.0,0.0,424.0,125.0,['2019']
['Piauí'],0.391125014814435,['PI'],[22],['Passagem Franca do Piauí'],[2207751],1747.0,299.0,147.0,152.0,712.0,149.0,0.0,0.0,0.0,0.0,1.0,36.0,['2019']
['Sergipe'],0.6550677875197792,['SE'],[28],['Pedrinhas'],[2805109],2216.0,259.0,101.0,158.0,1197.0,328.0,0.0,0.0,0.0,0.0,114.0,0.0,['2019']
['Bahia'],0.24573494846902696,['BA'],[29],['Piraí do Norte'],[2924678],2116.0,344.0,96.0,248.0,1248.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,['2019']
['Sergipe'],0.6103969630129019,['SE'],[28],['Poço Verde'],[2805505],4773.0,666.0,229.0,437.0,2965.0,836.0,0.0,87.0,49.0,38.0,631.0,0.0,['2019']
['Piauí'],0.32451041406929826,['PI'],[22],['Riacho Frio'],[2208858],1318.0,218.0,50.0,168.0,908.0,124.0,0.0,0.0,0.0,0.0,355.0,0.0,['2019']
['Sergipe'],0.45497712448124206,['SE'],[28],['Riachão do Dantas'],[2805802],4878.0,698.0,200.0,498.0,3052.0,620.0,0.0,1.0,0.0,1.0,200.0,0.0,['2019']
['Sergipe'],0.7054294573248026,['SE'],[28],['Rosário do Catete'],[2806107],2739.0,593.0,293.0,300.0,1575.0,236.0,0.0,0.0,0.0,0.0,212.0,132.0,['2019']
['Sergipe'],0.4408236189706437,['SE'],[28],['Salgado'],[2806206],4210.0,538.0,131.0,407.0,2607.0,639.0,0.0,77.0,77.0,0.0,206.0,0.0,['2019']
['Bahia'],0.4261718735027722,['BA'],[29],['Santa Brígida'],[2927606],3759.0,552.0,131.0,421.0,2370.0,634.0,0.0,86.0,86.0,0.0,0.0,0.0,['2019']
['Sergipe'],0.5221307325513025,['SE'],[28],['Santa Luzia do Itanhy'],[2806305],4100.0,878.0,457.0,421.0,2465.0,366.0,0.0,104.0,104.0,0.0,540.0,0.0,['2019']
['Sergipe'],0.531112960944568,['SE'],[28],['Santa Rosa de Lima'],[2806503],1190.0,242.0,98.0,144.0,677.0,177.0,0.0,42.0,42.0,0.0,0.0,144.0,['2019']
['Pernambuco' 'Bahia'],0.32078298588039494,['PE' 'BA'],[26 29],['Santa Terezinha'],[2612802 2928505],4873.0,754.0,257.0,497.0,2800.0,890.0,0.0,0.0,0.0,0.0,0.0,400.0,['2019']
['Rio Grande do Norte' 'Bahia'],0.3541711151405377,['RN' 'BA'],[24 29],['Serrinha'],[2413508 2930501],21499.0,3682.0,2234.0,1448.0,9430.0,4384.0,1892.0,2130.0,2051.0,79.0,4179.0,464.0,['2019']
['Sergipe'],0.6033600331883833,['SE'],[28],['Simão Dias'],[2807105],9215.0,1484.0,695.0,789.0,5350.0,1468.0,0.0,672.0,585.0,87.0,439.0,439.0,['2019']
